,Run_Time,Train_RMSE,Validation_RMSE,delta%
LR,0.09741544723510742,19.07301766853897,30771949877467.934,161337604841667.7
LR_l2,0.012965202331542969,19.085999143389277,36.58210048477484,91.66982147458391
LR_l1,0.023939132690429688,21.594144012413803,36.050270200766505,66.94465953381771
LR_en_0.25,0.031911611557006836,24.457737150731067,35.98972579226823,47.15067698400079
LR_en_0.5,0.024933576583862305,23.571804119697184,35.725288925203145,51.55941710609333
LR_en_0.75,0.023935556411743164,22.56038778468517,35.706110521363506,58.26904600284461
