,Run_Time,Train_AUC,Validation_AUC,delta%
LR,0.02592778205871582,1.0,0.993734335839599,-0.6265664160400974
LR_l2,0.012378454208374023,0.9991174582798459,0.9943609022556391,-0.4760757591400722
LR_l1,0.005877017974853516,0.9991709456568251,0.9774436090225564,-2.1745364723336427
LR_en_0.25,0.12861108779907227,0.9990372272143774,0.9924812030075187,-0.6562342251388213
LR_en_0.5,0.13761496543884277,0.9991442019683354,0.988095238095238,-1.1058427653716751
LR_en_0.75,0.26428985595703125,0.999170945656825,0.9830827067669173,-1.6101587981355583
