,Run_Time,Train_AUC,Validation_AUC,delta%
LR,0.071807861328125,0.9052824195468031,0.9010457516339869,-0.46799405592534515
LR_l2,0.025931119918823242,0.9052714265691364,0.9010396241830065,-0.46746227285310993
LR_l1,0.16115379333496094,0.9052543685003427,0.9009620098039217,-0.47416050623779427
LR_en_0.25,0.443373441696167,0.9052681097224263,0.901064133986928,-0.464390128222608
LR_en_0.5,0.28822827339172363,0.9052669725178402,0.9010437091503268,-0.4665213131289954
LR_en_0.75,0.17852210998535156,0.905263181835886,0.9010191993464053,-0.4688120067883369
