,Run_Time,Train_RMSE,Validation_RMSE,delta%
GB_25_1_0.001,0.10075712203979492,78.10080118956411,80.97338181840418,3.6780424593440735
GB_25_1_0.002,0.09172749519348145,77.26134890934115,80.13280292470185,3.7165465732808727
GB_25_1_0.005,0.09275221824645996,74.90966084118966,77.7459483320121,3.7862773091917243
GB_25_1_0.01,0.09175419807434082,71.41015976848412,74.15527099574898,3.8441465978575975
GB_25_1_0.05,0.09178662300109863,53.89284476242352,58.05860365846169,7.729706818042609
GB_25_1_0.1,0.09474754333496094,42.989201211908465,48.32793379753936,12.418775960303279
GB_25_2_0.001,0.15757298469543457,77.74465013501336,80.78969318389605,3.916723586246243
GB_25_2_0.002,0.15857648849487305,76.55331158085396,79.66874780070778,4.069629589522542
GB_25_2_0.005,0.17151689529418945,73.17494137567485,76.46010922257065,4.489471101903573
GB_25_2_0.01,0.17752385139465332,68.1229213936895,71.65031049906099,5.17797685889944
GB_25_2_0.05,0.18353581428527832,43.44727558449372,48.44807043717061,11.510030917707686
GB_25_2_0.1,0.19644737243652344,30.992318582999648,38.13649843178869,23.051453313040827
GB_25_3_0.001,0.24634194374084473,77.50538036365161,80.42013113851633,3.7607076582152623
GB_25_3_0.002,0.2623255252838135,76.08491879030113,79.05884863790533,3.9086981952372093
GB_25_3_0.005,0.25232601165771484,72.0649856433698,75.23232375284654,4.3951137729369
GB_25_3_0.01,0.28022313117980957,66.08198557289552,69.38118234734488,4.992581179041584
GB_25_3_0.05,0.23041582107543945,37.555387000856925,44.1352405436278,17.520398718353615
GB_25_3_0.1,0.2632908821105957,24.019148333105242,34.398215254361475,43.21163588865021
GB_25_4_0.001,0.29817795753479004,77.36189727403499,80.33579286713261,3.844134771621938
GB_25_4_0.002,0.32715559005737305,75.79981966978258,78.86860575795822,4.048540090919249
GB_25_4_0.005,0.29221367835998535,71.354412042687,74.67266043451617,4.650375914868539
GB_25_4_0.01,0.2911696434020996,64.69466065090157,68.46167499373948,5.822759258550056
GB_25_4_0.05,0.2981986999511719,32.49592436374043,41.52160812683891,27.774817734280283
GB_25_4_0.1,0.29619264602661133,18.496865661618042,31.651660753204247,71.11904974734767
GB_50_1_0.001,0.16853809356689453,77.26217239444081,80.13362761431446,3.7165085201257693
GB_50_1_0.002,0.17057013511657715,75.67389121973655,78.52543624607914,3.768201925896047
GB_50_1_0.005,0.16954731941223145,71.42645448658686,74.17177075702787,3.843556690828817
GB_50_1_0.01,0.1685488224029541,65.79050079896264,68.52509488538044,4.1565181191946765
GB_50_1_0.05,0.17054986953735352,43.232030884555755,49.02191809084752,13.392586672027361
GB_50_1_0.1,0.17054271697998047,33.21950708199837,39.64873282556321,19.353766230471336
GB_50_2_0.001,0.30216121673583984,76.55447829120928,79.66059263667233,4.057390782087962
GB_50_2_0.002,0.3001978397369385,74.27403665505513,77.4950958123609,4.33672290125428
GB_50_2_0.005,0.30319881439208984,68.14612435912366,71.67565150535711,5.179351253540366
GB_50_2_0.01,0.3012115955352783,59.8646323047645,63.87058612500396,6.691687004516416
GB_50_2_0.05,0.30418848991394043,31.188510205098332,38.11083292752692,22.19510543115653
GB_50_2_0.1,0.3041706085205078,22.380282208682257,32.22673244376048,43.99609505933027
GB_50_3_0.001,0.48169994354248047,76.08632137839703,79.06016574747403,3.9085137974896953
GB_50_3_0.002,0.43187522888183594,73.36806413853833,76.45640984101234,4.209386929771516
GB_50_3_0.005,0.4338235855102539,66.11032305178503,69.40446299720104,4.982792086548519
GB_50_3_0.01,0.43382716178894043,56.327373557948476,60.155679615412645,6.796528607046952
GB_50_3_0.05,0.43483757972717285,24.129505888821768,33.81552858835433,40.14181949751284
GB_50_3_0.1,0.4358346462249756,16.802866360512958,30.558714206847238,81.86607898436169
GB_50_4_0.001,0.5675148963928223,75.80125129244676,78.87197932689071,4.0510255201419465
